code,required,prop,type,priority,group,multichoice,priority
at,1,oct.property.id.card,ALPHANUMERIC,0,oct.group.id,1,1
at,1,oct.property.passport,ALPHANUMERIC,0,oct.group.id,1,1
at,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
at,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
be,1,oct.property.national.id.number,ALPHANUMERIC,0,oct.group.id,1,1
be,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
be,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
bg,1,oct.property.personal.number,ALPHANUMERIC,0,oct.group.id,1,1
bg,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
bg,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
cy,1,oct.property.passport,ALPHANUMERIC,0,oct.group.id,1,1
cy,1,oct.property.id.card,ALPHANUMERIC,0,oct.group.id,1,1
cy,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
cy,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
cz,1,oct.property.id.card,ALPHANUMERIC,0,oct.group.id,1,1
cz,1,oct.property.passport,ALPHANUMERIC,0,oct.group.id,1,1
cz,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
cz,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
de,1,oct.property.country,COUNTRY,83,oct.group.address,0,3
de,1,oct.property.city,ALPHANUMERIC,84,oct.group.address,0,3
de,1,oct.property.postal.code,ALPHANUMERIC,85,oct.group.address,0,3
de,1,oct.property.street.number,LARGETEXT,86,oct.group.address,0,3
de,1,oct.property.street,LARGETEXT,87,oct.group.address,0,3
de,1,oct.property.date.of.birth,DATE,97,oct.group.general,0,2
de,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
de,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
dk,1,oct.property.country,COUNTRY,83,oct.group.address,0,3
dk,1,oct.property.city,ALPHANUMERIC,84,oct.group.address,0,3
dk,1,oct.property.postal.code,ALPHANUMERIC,85,oct.group.address,0,3
dk,1,oct.property.street.number,LARGETEXT,86,oct.group.address,0,3
dk,1,oct.property.street,LARGETEXT,87,oct.group.address,0,3
dk,1,oct.property.date.of.birth,DATE,97,oct.group.general,0,2
dk,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
dk,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
ee,1,oct.property.personal.number,ALPHANUMERIC,0,oct.group.id,1,1
ee,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
ee,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
es,1,oct.property.passport,ALPHANUMERIC,0,oct.group.id,1,1
es,1,oct.property.id.card,ALPHANUMERIC,0,oct.group.id,1,1
es,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
es,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
fi,1,oct.property.country,COUNTRY,83,oct.group.address,0,3
fi,1,oct.property.city,ALPHANUMERIC,84,oct.group.address,0,3
fi,1,oct.property.postal.code,ALPHANUMERIC,85,oct.group.address,0,3
fi,1,oct.property.street.number,LARGETEXT,86,oct.group.address,0,3
fi,1,oct.property.street,LARGETEXT,87,oct.group.address,0,3
fi,1,oct.property.date.of.birth,DATE,97,oct.group.general,0,2
fi,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
fi,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
fr,1,oct.property.country,COUNTRY,83,oct.group.address,0,3
fr,1,oct.property.city,ALPHANUMERIC,84,oct.group.address,0,3
fr,1,oct.property.postal.code,ALPHANUMERIC,85,oct.group.address,0,3
fr,1,oct.property.street.number,LARGETEXT,86,oct.group.address,0,3
fr,1,oct.property.street,LARGETEXT,87,oct.group.address,0,3
fr,1,oct.property.date.of.birth,DATE,97,oct.group.general,0,2
fr,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
fr,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
gr,1,oct.property.country,COUNTRY,83,oct.group.address,0,3
gr,1,oct.property.city,ALPHANUMERIC,84,oct.group.address,0,3
gr,1,oct.property.postal.code,ALPHANUMERIC,85,oct.group.address,0,3
gr,1,oct.property.street.number,LARGETEXT,86,oct.group.address,0,3
gr,1,oct.property.street,LARGETEXT,87,oct.group.address,0,3
gr,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
gr,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
hr,1,oct.property.passport,ALPHANUMERIC,0,oct.group.id,1,1
hr,1,oct.property.personal.id,ALPHANUMERIC,0,oct.group.id,1,1
hr,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
hr,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
hu,1,oct.property.passport,ALPHANUMERIC,0,oct.group.id,1,1
hu,1,oct.property.personal.number,ALPHANUMERIC,0,oct.group.id,1,1
hu,1,oct.property.id.card,ALPHANUMERIC,0,oct.group.id,1,1
hu,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
hu,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
ie,1,oct.property.country,COUNTRY,83,oct.group.address,0,3
ie,1,oct.property.city,ALPHANUMERIC,84,oct.group.address,0,3
ie,1,oct.property.postal.code,ALPHANUMERIC,85,oct.group.address,0,3
ie,1,oct.property.street.number,LARGETEXT,86,oct.group.address,0,3
ie,1,oct.property.street,LARGETEXT,87,oct.group.address,0,3
ie,1,oct.property.date.of.birth,DATE,97,oct.group.general,0,2
ie,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
ie,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
it,1,oct.property.passport,ALPHANUMERIC,0,oct.group.id,1,1
it,1,oct.property.id.card,ALPHANUMERIC,0,oct.group.id,1,1
it,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
it,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
lt,1,oct.property.personal.number,ALPHANUMERIC,0,oct.group.id,1,1
lt,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
lt,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
lu,1,oct.property.country,COUNTRY,83,oct.group.address,0,3
lu,1,oct.property.city,ALPHANUMERIC,84,oct.group.address,0,3
lu,1,oct.property.postal.code,ALPHANUMERIC,85,oct.group.address,0,3
lu,1,oct.property.street.number,LARGETEXT,86,oct.group.address,0,3
lu,1,oct.property.street,LARGETEXT,87,oct.group.address,0,3
lu,1,oct.property.date.of.birth,DATE,97,oct.group.general,0,2
lu,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
lu,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
lv,1,oct.property.personal.id,ALPHANUMERIC,0,oct.group.id,1,1
lv,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
lv,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
mt,1,oct.property.id.card,ALPHANUMERIC,0,oct.group.id,1,1
mt,1,oct.property.residence.permit,ALPHANUMERIC,0,oct.group.id,1,1
mt,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
mt,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
nl,1,oct.property.country,COUNTRY,83,oct.group.address,0,3
nl,1,oct.property.city,ALPHANUMERIC,84,oct.group.address,0,3
nl,1,oct.property.postal.code,ALPHANUMERIC,85,oct.group.address,0,3
nl,1,oct.property.street.number,LARGETEXT,86,oct.group.address,0,3
nl,1,oct.property.street,LARGETEXT,87,oct.group.address,0,3
nl,1,oct.property.date.of.birth,DATE,97,oct.group.general,0,2
nl,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
nl,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
pl,1,oct.property.national.id.number,ALPHANUMERIC,0,oct.group.id,1,1
pl,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
pl,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
pt,1,oct.property.citizens.card,ALPHANUMERIC,0,oct.group.id,1,1
pt,1,oct.property.passport,ALPHANUMERIC,0,oct.group.id,1,1
pt,1,oct.property.id.card,ALPHANUMERIC,0,oct.group.id,1,1
pt,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
pt,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
ro,1,oct.property.passport,ALPHANUMERIC,0,oct.group.id,1,1
ro,1,oct.property.id.card,ALPHANUMERIC,0,oct.group.id,1,1
ro,1,oct.property.personal.id,ALPHANUMERIC,0,oct.group.id,1,1
ro,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
ro,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
se,1,oct.property.personal.number,ALPHANUMERIC,0,oct.group.id,1,1
se,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
se,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
si,1,oct.property.personal.number,ALPHANUMERIC,0,oct.group.id,1,1
si,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
si,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
sk,1,oct.property.country,COUNTRY,83,oct.group.address,0,3
sk,1,oct.property.city,ALPHANUMERIC,84,oct.group.address,0,3
sk,1,oct.property.postal.code,ALPHANUMERIC,85,oct.group.address,0,3
sk,1,oct.property.street.number,LARGETEXT,86,oct.group.address,0,3
sk,1,oct.property.street,LARGETEXT,87,oct.group.address,0,3
sk,1,oct.property.date.of.birth,DATE,97,oct.group.general,0,2
sk,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
sk,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
